FECHA (YYMMDD);HORA (HHMM);
180101;0;0,23
180102;0;0,19
180103;0;0,2
180104;0;0,19
180105;0;0,19
180106;0;0,21
180107;0;0,2
180108;0;0,22
180109;0;0,23
180110;0;0,21
180111;0;0,22
180112;0;0,21
180113;0;0,2
180114;0;0,21
180115;0;0,21
180116;0;0,2
180117;0;0,18
180118;0;0,21
180119;0;0,2
180120;0;0,18
180121;0;0,17
180122;0;0,16
180123;0;0,16
180124;0;0,16
180125;0;0,15
180126;0;0,17
180127;0;0,19
180128;0;0,17
180129;0;0,18
180130;0;0,16
180131;0;0,18
180201;0;0,18
180202;0;0,15
180203;0;0,14
180204;0;0,14
180205;0;0,16
180206;0;0,14
180207;0;0,14
180208;0;0,14
180209;0;0,14
180210;0;0,17
180211;0;0,12
180212;0;0,12
180213;0;0,12
180214;0;0,12
180215;0;0,14
180216;0;0,25
180217;0;0,4
180218;0;0,4
180219;0;0,5
180220;0;0,1
180221;0;0,1
180222;0;0,1
180223;0;0,1
180224;0;0,1
180225;0;0,1
180226;0;0,1
180227;0;0,1
180228;0;0,13
180301;0;0,17
180302;0;0,1
180303;0;0,11
180304;0;0,11
180305;0;0,11
180306;0;0,11
180307;0;0,13
180308;0;0,1
180309;0;0,11
180310;0;0,17
180311;0;0,12
180312;0;0,15
180313;0;0,11
180314;0;0,22
180315;0;0,28
180316;0;0,11
180317;0;0,16
180318;0;0,25
180319;0;0,34
180320;0;0,11
180321;0;0,1
180322;0;0,1
180323;0;0,11
180324;0;0,12
180325;0;0,2
180326;0;0,14
180327;0;0,1
180328;0;0,11
180329;0;0,1
180330;0;0,1
180331;0;0,1
180401;0;0,1
180402;0;0,1
180403;0;0,11
180404;0;0,18
180405;0;0,2
180406;0;0,4
180407;0;0,48
180408;0;0,58
180409;0;0,31
180410;0;0,18
180411;0;0,63
180412;0;0,37
180413;0;0,37
180414;0;0,64
180415;0;0,44
180416;0;0,53
180417;0;0,75
180418;0;0,98
180419;0;NA
180420;0;NA
180421;0;0,39
180422;0;0,54
180423;0;1,27
180424;0;0,86
180425;0;0,59
180426;0;0,45
180427;0;0,76
180428;0;1,14
180429;0;NA
180430;0;1,26
180501;0;0,41
180502;0;0,4
180503;0;0,59
180504;0;1,4
180505;0;1,05
180506;0;1,16
180507;0;1,25
180508;0;0,45
180509;0;0,54
180510;0;0,75
180511;0;1,03
180512;0;1,07
180513;0;0,28
180514;0;0,47
180515;0;1,08
180516;0;0,49
180517;0;0,17
180518;0;0,63
180519;0;0,64
180520;0;0,61
180521;0;1,85
180522;0;2,48
180523;0;2,53
180524;0;1,44
180525;0;0,67
180526;0;0,38
180527;0;0,57
180528;0;0,21
180529;0;0,81
180530;0;0,91
180531;0;1,54
180601;0;1,27
180602;0;1,72
180603;0;1,36
180604;0;0,85
180605;0;0,4
180606;0;1,44
180607;0;0,85
180608;0;0,55
180609;0;0,32
180610;0;0,3
180611;0;0,65
180612;0;1,26
180613;0;1,36
180614;0;0,54
180615;0;0,78
180616;0;2,51
180617;0;0,79
180618;0;1,3
180619;0;0,83
180620;0;0,52
180621;0;0,51
180622;0;0,47
180623;0;1,13
180624;0;1,2
180625;0;0,12
180626;0;0,16
180627;0;0,61
180628;0;0,88
180629;0;0,31
180630;0;0,28
180701;0;0,87
180702;0;0,81
180703;0;1,13
180704;0;0,1
180705;0;0,11
180706;0;0,24
180707;0;1,02
180708;0;1,58
180709;0;1,25
180710;0;0,67
180711;0;0,84
180712;0;0,5
180713;0;0,11
180714;0;0,26
180715;0;0,98
180716;0;0,81
180717;0;0,4
180718;0;0,83
180719;0;1,1
180720;0;0,71
180721;0;0,48
180722;0;0,91
180723;0;1,51
180724;0;1,33
180725;0;2,18
180726;0;1,6
180727;0;1,14
180728;0;0,79
180729;0;0,24
180730;0;0,92
180731;0;1,67
180801;0;2,27
180802;0;0,42
180803;0;0,45
180804;0;0,25
180805;0;0,12
180806;0;0,12
180807;0;0,65
180808;0;1,57
180809;0;1,85
180810;0;1,48
180811;0;0,69
180812;0;0,3
180813;0;0,58
180814;0;0,71
180815;0;1,12
180816;0;0,74
180817;0;0,18
180818;0;1,05
180819;0;1,6
180820;0;1,24
180821;0;0,48
180822;0;0,18
180823;0;0,28
180824;0;0,5
180825;0;0,54
180826;0;0,33
180827;0;0,81
180828;0;0,43
180829;0;0,27
180830;0;0,97
180831;0;0,85
180901;0;0,38
180902;0;0,39
180903;0;0,48
180904;0;0,64
180905;0;0,4
180906;0;0,74
180907;0;1,13
180908;0;1,19
180909;0;0,51
180910;0;0,53
180911;0;0,49
180912;0;0,41
180913;0;0,43
180914;0;0,37
180915;0;0,79
180916;0;0,39
180917;0;0,26
180918;0;0,28
180919;0;0,22
180920;0;0,14
180921;0;0,13
180922;0;0,11
180923;0;0,35
180924;0;0,51
180925;0;0,26
180926;0;0,53
180927;0;0,17
180928;0;0,2
180929;0;0,15
180930;0;0,22
181001;0;0,46
181002;0;0,38
181003;0;0,86
181004;0;0,51
181005;0;0,36
181006;0;0,18
181007;0;0,13
181008;0;0,12
181009;0;0,38
181010;0;0,6
181011;0;0,17
181012;0;0,45
181013;0;0,49
181014;0;0,18
181015;0;0,11
181016;0;0,12
181017;0;0,16
181018;0;0,14
181019;0;0,13
181020;0;0,17
181021;0;0,24
181022;0;0,37
181023;0;0,17
181024;0;0,29
181025;0;0,45
181026;0;0,16
181027;0;0,14
181028;0;0,13
181029;0;0,13
181030;0;0,15
181031;0;0,25
181101;0;0,2
181102;0;0,18
181103;0;0,22
181104;0;0,13
181105;0;0,27
181106;0;0,29
181107;0;0,14
181108;0;0,13
181109;0;0,15
181110;0;0,19
181111;0;0,23
181112;0;0,27
181113;0;0,12
181114;0;0,12
181115;0;0,1
181116;0;0,19
181117;0;0,21
181118;0;0,19
181119;0;0,13
181120;0;0,15
181121;0;0,1
181122;0;0,11
181123;0;0,1
181124;0;0,1
181125;0;0,1
181126;0;0,1
181127;0;0,1
181128;0;0,1
181129;0;0,1
181130;0;0,1
181201;0;0,1
181202;0;0,12
181203;0;0,1
181204;0;0,1
181205;0;0,1
181206;0;0,1
181207;0;0,13
181208;0;0,11
181209;0;0,2
181210;0;0,3
181211;0;0,18
181212;0;0,19
181213;0;0,18
181214;0;0,17
181215;0;0,21
181216;0;0,19
181217;0;0,17
181218;0;0,14
181219;0;0,1
181220;0;0,1
181221;0;0,1
181222;0;0,1
181223;0;0,1
181224;0;0,1
181225;0;0,1
181226;0;0,11
181227;0;0,15
181228;0;0,16
181229;0;0,24
181230;0;0,22
181231;0;0,24
190101;0;0,15
190102;0;0,15
190103;0;0,17
190104;0;0,2
190105;0;0,21
190106;0;0,2
190107;0;0,2
190108;0;0,16
190109;0;0,1
190110;0;0,11
190111;0;0,1
190112;0;0,1
190113;0;0,1
190114;0;0,1
190115;0;0,1
190116;0;0,1
190117;0;0,1
190118;0;0,1
190119;0;0,11
190120;0;0,12
190121;0;0,13
190122;0;0,1
190123;0;0,1
190124;0;NA
190125;0;NA
190126;0;0,1
190127;0;0,1
190128;0;NA
190129;0;0,1
190130;0;0,1
190131;0;NA
190201;0;NA
190202;0;0,12
190203;0;0,13
190204;0;0,4
190205;0;0,1
190206;0;0,1
190207;0;0,1
190208;0;NA
190209;0;0,1
190210;0;0,1
190211;0;0,1
190212;0;0,12
190213;0;0,12
190214;0;0,1
190215;0;0,13
190216;0;0,22
190217;0;0,13
190218;0;0,1
190219;0;0,1
190220;0;0,1
190221;0;0,13
190222;0;0,1
190223;0;0,1
190224;0;0,1
190225;0;0,1
190226;0;0,1
190227;0;0,1
190228;0;0,11
190301;0;0,11
190302;0;0,1
190303;0;0,1
190304;0;0,13
190305;0;0,17
190306;0;0,12
190307;0;0,1
190308;0;0,1
190309;0;0,12
190310;0;0,21
190311;0;0,1
190312;0;0,11
190313;0;0,1
190314;0;0,11
190315;0;0,1
190316;0;0,1
190317;0;0,1
190318;0;0,1
190319;0;0,17
190320;0;0,13
190321;0;0,1
190322;0;0,1
190323;0;0,14
190324;0;0,16
190325;0;0,18
190326;0;0,37
190327;0;0,26
190328;0;0,16
190329;0;0,16
190330;0;0,18
190331;0;0,14
190401;0;0,11
190402;0;0,12
190403;0;0,16
190404;0;0,19
