FECHA (YYMMDD);HORA (HHMM);
180101;0;14
180102;0;10
180103;0;8
180104;0;14
180105;0;13
180106;0;16
180107;0;13
180108;0;15
180109;0;18
180110;0;25
180111;0;25
180112;0;22
180113;0;29
180114;0;23
180115;0;32
180116;0;26
180117;0;18
180118;0;25
180119;0;29
180120;0;20
180121;0;22
180122;0;28
180123;0;26
180124;0;32
180125;0;32
180126;0;25
180127;0;20
180128;0;22
180129;0;26
180130;0;20
180131;0;43
180201;0;64
180202;0;29
180203;0;20
180204;0;18
180205;0;28
180206;0;19
180207;0;23
180208;0;23
180209;0;26
180210;0;28
180211;0;23
180212;0;30
180213;0;29
180214;0;26
180215;0;23
180216;0;20
180217;0;18
180218;0;22
180219;0;21
180220;0;17
180221;0;22
180222;0;20
180223;0;16
180224;0;20
180225;0;16
180226;0;17
180227;0;28
180228;0;25
180301;0;27
180302;0;28
180303;0;25
180304;0;17
180305;0;25
180306;0;50
180307;0;32
180308;0;45
180309;0;22
180310;0;21
180311;0;18
180312;0;23
180313;0;28
180314;0;28
180315;0;39
180316;0;26
180317;0;21
180318;0;34
180319;0;33
180320;0;25
180321;0;27
180322;0;19
180323;0;24
180324;0;26
180325;0;29
180326;0;29
180327;0;27
180328;0;33
180329;0;19
180330;0;23
180331;0;22
180401;0;22
180402;0;35
180403;0;29
180404;0;33
180405;0;40
180406;0;53
180407;0;69
180408;0;53
180409;0;25
180410;0;18
180411;0;51
180412;0;33
180413;0;47
180414;0;70
180415;0;54
180416;0;54
180417;0;55
180418;0;68
180419;0;63
180420;0;40
180421;0;34
180422;0;42
180423;0;81
180424;0;64
180425;0;56
180426;0;38
180427;0;58
180428;0;80
180429;0;NA
180430;0;74
180501;0;29
180502;0;28
180503;0;46
180504;0;105
180505;0;72
180506;0;88
180507;0;77
180508;0;32
180509;0;42
180510;0;71
180511;0;98
180512;0;78
180513;0;20
180514;0;37
180515;0;86
180516;0;62
180517;0;33
180518;0;83
180519;0;74
180520;0;81
180521;0;157
180522;0;204
180523;0;225
180524;0;143
180525;0;87
180526;0;45
180527;0;46
180528;0;33
180529;0;75
180530;0;80
180531;0;111
180601;0;97
180602;0;168
180603;0;120
180604;0;109
180605;0;54
180606;0;134
180607;0;87
180608;0;67
180609;0;39
180610;0;44
180611;0;82
180612;0;122
180613;0;126
180614;0;66
180615;0;81
180616;0;201
180617;0;75
180618;0;102
180619;0;87
180620;0;53
180621;0;57
180622;0;53
180623;0;100
180624;0;106
180625;0;26
180626;0;27
180627;0;67
180628;0;82
180629;0;36
180630;0;34
180701;0;83
180702;0;81
180703;0;89
180704;0;11
180705;0;14
180706;0;28
180707;0;110
180708;0;115
180709;0;119
180710;0;84
180711;0;110
180712;0;53
180713;0;18
180714;0;34
180715;0;106
180716;0;74
180717;0;49
180718;0;78
180719;0;104
180720;0;75
180721;0;56
180722;0;93
180723;0;116
180724;0;126
180725;0;199
180726;0;139
180727;0;109
180728;0;86
180729;0;43
180730;0;83
180731;0;130
180801;0;174
180802;0;52
180803;0;49
180804;0;33
180805;0;18
180806;0;15
180807;0;66
180808;0;151
180809;0;168
180810;0;137
180811;0;73
180812;0;42
180813;0;63
180814;0;69
180815;0;103
180816;0;77
180817;0;29
180818;0;107
180819;0;119
180820;0;120
180821;0;66
180822;0;35
180823;0;32
180824;0;51
180825;0;62
180826;0;37
180827;0;68
180828;0;39
180829;0;32
180830;0;114
180831;0;72
180901;0;49
180902;0;42
180903;0;48
180904;0;56
180905;0;40
180906;0;75
180907;0;89
180908;0;85
180909;0;51
180910;0;59
180911;0;41
180912;0;35
180913;0;38
180914;0;39
180915;0;64
180916;0;31
180917;0;19
180918;0;20
180919;0;17
180920;0;12
180921;0;17
180922;0;16
180923;0;33
180924;0;45
180925;0;37
180926;0;57
180927;0;17
180928;0;16
180929;0;12
180930;0;19
181001;0;40
181002;0;29
181003;0;55
181004;0;38
181005;0;49
181006;0;32
181007;0;28
181008;0;17
181009;0;41
181010;0;41
181011;0;24
181012;0;52
181013;0;49
181014;0;27
181015;0;18
181016;0;17
181017;0;17
181018;0;20
181019;0;22
181020;0;24
181021;0;31
181022;0;36
181023;0;37
181024;0;29
181025;0;36
181026;0;24
181027;0;17
181028;0;16
181029;0;14
181030;0;20
181031;0;27
181101;0;24
181102;0;17
181103;0;18
181104;0;16
181105;0;30
181106;0;31
181107;0;31
181108;0;28
181109;0;20
181110;0;18
181111;0;22
181112;0;22
181113;0;22
181114;0;16
181115;0;19
181116;0;28
181117;0;19
181118;0;20
181119;0;22
181120;0;22
181121;0;23
181122;0;19
181123;0;23
181124;0;23
181125;0;21
181126;0;22
181127;0;22
181128;0;23
181129;0;19
181130;0;21
181201;0;29
181202;0;29
181203;0;33
181204;0;28
181205;0;27
181206;0;36
181207;0;45
181208;0;29
181209;0;21
181210;0;24
181211;0;15
181212;0;16
181213;0;16
181214;0;14
